Va_rms,Vb_rms,Vc_rms,Ia_rms,Ib_rms,Ic_rms,Va_mag,Va_ang,Ra,Xa,Vb_mag,Vb_ang,Rb,Xb,Vc_mag,Vc_ang,Rc,Xc,RFault,A,B,C,G
617.4911854,618.641764,619.349868,61.74994073,61.8647854,61.93541083,873.2644091,-3.017750487,9.999866852,1.74E-05,874.8915728,1.169778536,9.999901559,-3.73E-05,875.8929832,-0.923592178,9.999931537,2.00E-05,10,1,1,1,1
617.5003287,618.6045272,619.476635,61.75085507,61.86106167,61.94808771,873.2773397,-3.01786777,9.999866853,1.74E-05,874.8389122,1.169925413,9.999901561,-3.73E-05,876.0722588,-0.923512209,9.999931521,2.00E-05,10,1,1,1,1
617.5341343,618.6211798,619.4673729,61.75423573,61.86272693,61.94716141,873.325148,-3.017903375,9.999866843,1.74E-05,874.8624624,1.169824027,9.999901564,-3.73E-05,876.0591601,-0.92355591,9.999931534,2.00E-05,10,1,1,1,1
617.5142138,618.5620242,619.646258,61.75224368,61.85681133,61.96505013,873.2969761,-3.018265929,9.999866839,1.74E-05,874.7788038,1.16986996,9.999901561,-3.73E-05,876.312142,-0.923659107,9.999931521,2.00E-05,10,1,1,1,1
617.5741664,618.5767849,619.6018306,61.75823906,61.85828732,61.96060736,873.3817619,-3.018256782,9.999866833,1.74E-05,874.7996786,1.169726666,9.999901576,-3.73E-05,876.2493122,-0.923661718,9.999931521,2.00E-05,10,1,1,1,1
617.5712207,618.5442869,619.5960282,61.75794444,61.85503752,61.96002711,873.377596,-3.018218063,9.999866839,1.74E-05,874.7537194,1.16978767,9.99990157,-3.73E-05,876.2411062,-0.92357124,9.999931522,2.00E-05,10,1,1,1,1
617.5470378,618.596348,619.5585794,61.755526,61.86024382,61.95628219,873.3433963,-3.018127987,9.999866859,1.74E-05,874.827345,1.169781537,9.999901549,-3.73E-05,876.1881457,-0.923638336,9.999931524,1.99E-05,10,1,1,1,1
617.5725328,618.5632521,619.5718432,61.75807564,61.85693411,61.95760854,873.3794517,-3.018259002,9.999866841,1.74E-05,874.7805403,1.169681733,9.999901562,-3.73E-05,876.2069035,-0.923669964,9.999931531,2.00E-05,10,1,1,1,1
617.5565144,618.5496589,619.57032,61.75647374,61.85557472,61.95745632,873.3567981,-3.018195831,9.999866847,1.74E-05,874.7613166,1.16977171,9.999901573,-3.73E-05,876.2047494,-0.923596523,9.999931513,2.00E-05,10,1,1,1,1
617.5791746,618.6121,619.5335326,61.75873977,61.86181896,61.95377748,873.3888446,-3.018038495,9.999866851,1.74E-05,874.8496217,1.16977962,9.999901562,-3.73E-05,876.1527241,-0.923570459,9.999931526,2.00E-05,10,1,1,1,1
617.5304818,618.6172889,619.5716556,61.75387059,61.86233773,61.95758982,873.3199826,-3.01816604,9.999866824,1.74E-05,874.8569599,1.169763846,9.999901582,-3.73E-05,876.2066381,-0.92371478,9.999931523,2.00E-05,10,1,1,1,1
6552.543724,6804.745599,6620.545529,0.006552544,0.006804746,0.006620546,9266.696202,-1.60122882,1000000.003,-0.108543604,9623.363514,2.609791368,1000000.09,0.052529908,9362.865277,0.554035075,999999.9089,0.057031566,50,0,0,0,0
